bench	native	wasm-gc	js
uuid_parse	0.2	0.377	4.032
encoding_utf8	0.401	0.252	0.358
path_normalize	0.206	FAIL	FAIL
plain_datetime_parse	0.133	0.212	0.324
base64_encode	0.561	0.505	1.046
base64_decode	0.425	0.369	0.712
json5_parse	0.236	0.345	0.468
